pos_wp1	pos_wp2
1.469999999999999973e+00	1.000000000000000021e-02
-1.439999999999999947e+00	1.000000000000000021e-02
8.000000000000000167e-02	1.000000000000000021e-02
8.000000000000000167e-02	1.419999999999999929e+00
8.000000000000000167e-02	-1.500000000000000000e+00
8.000000000000000167e-02	-9.499999999999999556e-01
1.500000000000000000e+00	-9.499999999999999556e-01
-1.360000000000000098e+00	-9.499999999999999556e-01
3.200000000000000067e-01	-9.499999999999999556e-01
3.200000000000000067e-01	5.100000000000000089e-01
3.200000000000000067e-01	-2.439999999999999947e+00
3.200000000000000067e-01	-9.179999999999999716e+00
1.550000000000000044e+00	-9.179999999999999716e+00
-9.100000000000000311e-01	-9.179999999999999716e+00
2.700000000000000178e-01	-9.179999999999999716e+00
2.700000000000000178e-01	-7.990000000000000213e+00
2.700000000000000178e-01	-1.043999999999999950e+01
2.700000000000000178e-01	-1.166999999999999993e+01
1.399999999999999911e+00	-1.166999999999999993e+01
-8.499999999999999778e-01	-1.166999999999999993e+01
-2.999999999999999889e-02	-1.166999999999999993e+01
-2.999999999999999889e-02	-1.058999999999999986e+01
-2.999999999999999889e-02	-1.276999999999999957e+01
-2.999999999999999889e-02	-1.240000000000000036e+01
1.070000000000000062e+00	-1.240000000000000036e+01
-1.159999999999999920e+00	-1.240000000000000036e+01
-2.509999999999999787e+00	-1.240000000000000036e+01
-2.509999999999999787e+00	-1.130000000000000071e+01
-2.509999999999999787e+00	-1.351999999999999957e+01
-2.509999999999999787e+00	-1.375000000000000000e+01
-1.469999999999999973e+00	-1.375000000000000000e+01
-3.580000000000000071e+00	-1.375000000000000000e+01
-1.368999999999999950e+01	-1.375000000000000000e+01
-1.368999999999999950e+01	-1.301999999999999957e+01
-1.368999999999999950e+01	-1.451999999999999957e+01
-1.368999999999999950e+01	-2.014000000000000057e+01
-1.330000000000000071e+01	-2.014000000000000057e+01
-1.408999999999999986e+01	-2.014000000000000057e+01
-1.400999999999999979e+01	-2.014000000000000057e+01
-1.400999999999999979e+01	-1.976000000000000156e+01
-1.400999999999999979e+01	-2.053999999999999915e+01
-1.400999999999999979e+01	-2.110000000000000142e+01
-1.367999999999999972e+01	-2.110000000000000142e+01
-1.436999999999999922e+01	-2.110000000000000142e+01
-1.427999999999999936e+01	-2.110000000000000142e+01
-1.427999999999999936e+01	-2.075000000000000000e+01
-1.427999999999999936e+01	-2.146000000000000085e+01
-1.427999999999999936e+01	-2.178999999999999915e+01
-1.398000000000000043e+01	-2.178999999999999915e+01
-1.458999999999999986e+01	-2.178999999999999915e+01
-1.472000000000000064e+01	-2.178999999999999915e+01
-1.472000000000000064e+01	-2.148999999999999844e+01
-1.472000000000000064e+01	-2.208999999999999986e+01
-1.472000000000000064e+01	-2.232999999999999829e+01
-1.443999999999999950e+01	-2.232999999999999829e+01
-1.499000000000000021e+01	-2.232999999999999829e+01
-1.478999999999999915e+01	-2.232999999999999829e+01
-1.478999999999999915e+01	-2.207000000000000028e+01
-1.478999999999999915e+01	-2.262000000000000099e+01
-1.478999999999999915e+01	-2.392999999999999972e+01
-1.458000000000000007e+01	-2.392999999999999972e+01
-1.500999999999999979e+01	-2.392999999999999972e+01
-1.494999999999999929e+01	-2.392999999999999972e+01
-1.494999999999999929e+01	-2.373000000000000043e+01
-1.494999999999999929e+01	-2.416000000000000014e+01
-1.494999999999999929e+01	-2.405999999999999872e+01
-1.474000000000000021e+01	-2.405999999999999872e+01
-1.516999999999999993e+01	-2.405999999999999872e+01
-2.358999999999999986e+01	-2.405999999999999872e+01
-2.358999999999999986e+01	-2.403999999999999915e+01
-2.358999999999999986e+01	-2.407999999999999829e+01
-2.358999999999999986e+01	-2.407000000000000028e+01
-2.355999999999999872e+01	-2.407000000000000028e+01
-2.360999999999999943e+01	-2.407000000000000028e+01
-2.360000000000000142e+01	-2.407000000000000028e+01
-2.360000000000000142e+01	-2.405000000000000071e+01
-2.360000000000000142e+01	-2.408999999999999986e+01
-2.360000000000000142e+01	-2.408999999999999986e+01
-2.357999999999999829e+01	-2.408999999999999986e+01
-2.362000000000000099e+01	-2.408999999999999986e+01
-2.378999999999999915e+01	-2.408999999999999986e+01
-2.378999999999999915e+01	-2.407000000000000028e+01
-2.378999999999999915e+01	-2.410999999999999943e+01
-2.378999999999999915e+01	-2.407000000000000028e+01
-2.376999999999999957e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.405000000000000071e+01
-2.380999999999999872e+01	-2.408999999999999986e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.378999999999999915e+01	-2.407000000000000028e+01
-2.382000000000000028e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.405000000000000071e+01
-2.380999999999999872e+01	-2.410000000000000142e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.378999999999999915e+01	-2.407000000000000028e+01
-2.382999999999999829e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.405000000000000071e+01
-2.380999999999999872e+01	-2.410000000000000142e+01
-2.380999999999999872e+01	-2.405999999999999872e+01
-2.378000000000000114e+01	-2.405999999999999872e+01
-2.382999999999999829e+01	-2.405999999999999872e+01
-2.382000000000000028e+01	-2.405999999999999872e+01
-2.382000000000000028e+01	-2.403999999999999915e+01
-2.382000000000000028e+01	-2.408999999999999986e+01
-2.382000000000000028e+01	-2.405000000000000071e+01
-2.378999999999999915e+01	-2.405000000000000071e+01
-2.382999999999999829e+01	-2.405000000000000071e+01
-2.380999999999999872e+01	-2.405000000000000071e+01
-2.380999999999999872e+01	-2.403000000000000114e+01
-2.380999999999999872e+01	-2.407000000000000028e+01
-2.380999999999999872e+01	-2.394000000000000128e+01
-2.378000000000000114e+01	-2.394000000000000128e+01
-2.382999999999999829e+01	-2.394000000000000128e+01
-2.380999999999999872e+01	-2.394000000000000128e+01
-2.380999999999999872e+01	-2.392000000000000171e+01
-2.380999999999999872e+01	-2.396000000000000085e+01
-2.380999999999999872e+01	-2.389000000000000057e+01
-2.378000000000000114e+01	-2.389000000000000057e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.380000000000000071e+01	-2.389000000000000057e+01
-2.380000000000000071e+01	-2.385999999999999943e+01
-2.380000000000000071e+01	-2.392000000000000171e+01
-2.380000000000000071e+01	-2.387999999999999901e+01
-2.376999999999999957e+01	-2.387999999999999901e+01
-2.382000000000000028e+01	-2.387999999999999901e+01
-2.380000000000000071e+01	-2.387999999999999901e+01
-2.380000000000000071e+01	-2.385999999999999943e+01
-2.380000000000000071e+01	-2.391000000000000014e+01
-2.380000000000000071e+01	-2.389000000000000057e+01
-2.376999999999999957e+01	-2.389000000000000057e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.378999999999999915e+01	-2.389000000000000057e+01
-2.378999999999999915e+01	-2.387000000000000099e+01
-2.378999999999999915e+01	-2.392000000000000171e+01
-2.378999999999999915e+01	-2.387000000000000099e+01
-2.376999999999999957e+01	-2.387000000000000099e+01
-2.380999999999999872e+01	-2.387000000000000099e+01
-2.378999999999999915e+01	-2.387000000000000099e+01
-2.378999999999999915e+01	-2.385000000000000142e+01
-2.378999999999999915e+01	-2.389999999999999858e+01
-2.378999999999999915e+01	-2.387999999999999901e+01
-2.376000000000000156e+01	-2.387999999999999901e+01
-2.382000000000000028e+01	-2.387999999999999901e+01
-2.378999999999999915e+01	-2.387999999999999901e+01
-2.378999999999999915e+01	-2.385999999999999943e+01
-2.378999999999999915e+01	-2.391000000000000014e+01
-2.378999999999999915e+01	-2.389000000000000057e+01
-2.376000000000000156e+01	-2.389000000000000057e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.380999999999999872e+01	-2.389000000000000057e+01
-2.380999999999999872e+01	-2.387000000000000099e+01
-2.380999999999999872e+01	-2.392000000000000171e+01
-2.380999999999999872e+01	-2.392000000000000171e+01
-2.378000000000000114e+01	-2.392000000000000171e+01
-2.382999999999999829e+01	-2.392000000000000171e+01
-2.382000000000000028e+01	-2.392000000000000171e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.382000000000000028e+01	-2.394000000000000128e+01
-2.382000000000000028e+01	-2.391000000000000014e+01
-2.380000000000000071e+01	-2.391000000000000014e+01
-2.383999999999999986e+01	-2.391000000000000014e+01
-2.382000000000000028e+01	-2.391000000000000014e+01
-2.382000000000000028e+01	-2.387999999999999901e+01
-2.382000000000000028e+01	-2.392999999999999972e+01
-2.382000000000000028e+01	-2.391000000000000014e+01
-2.380000000000000071e+01	-2.391000000000000014e+01
-2.383999999999999986e+01	-2.391000000000000014e+01
-2.382000000000000028e+01	-2.391000000000000014e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.382000000000000028e+01	-2.392999999999999972e+01
-2.382000000000000028e+01	-2.389999999999999858e+01
-2.380000000000000071e+01	-2.389999999999999858e+01
-2.382999999999999829e+01	-2.389999999999999858e+01
-2.382000000000000028e+01	-2.389999999999999858e+01
-2.382000000000000028e+01	-2.387999999999999901e+01
-2.382000000000000028e+01	-2.392000000000000171e+01
-2.382000000000000028e+01	-2.389000000000000057e+01
-2.380000000000000071e+01	-2.389000000000000057e+01
-2.383999999999999986e+01	-2.389000000000000057e+01
-2.387999999999999901e+01	-2.389000000000000057e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.391000000000000014e+01
-2.387999999999999901e+01	-2.389000000000000057e+01
-2.385999999999999943e+01	-2.389000000000000057e+01
-2.389999999999999858e+01	-2.389000000000000057e+01
-2.387999999999999901e+01	-2.389000000000000057e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.389999999999999858e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.385999999999999943e+01	-2.387000000000000099e+01
-2.389999999999999858e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.385000000000000142e+01
-2.387999999999999901e+01	-2.387999999999999901e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.385000000000000142e+01	-2.387000000000000099e+01
-2.389000000000000057e+01	-2.387000000000000099e+01
-2.389000000000000057e+01	-2.387000000000000099e+01
-2.389000000000000057e+01	-2.385000000000000142e+01
-2.389000000000000057e+01	-2.389999999999999858e+01
-2.389000000000000057e+01	-2.387000000000000099e+01
-2.385999999999999943e+01	-2.387000000000000099e+01
-2.389999999999999858e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.385000000000000142e+01
-2.387999999999999901e+01	-2.389000000000000057e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.385999999999999943e+01	-2.387000000000000099e+01
-2.389000000000000057e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.387000000000000099e+01
-2.387999999999999901e+01	-2.385000000000000142e+01
-2.387999999999999901e+01	-2.391000000000000014e+01
-2.387999999999999901e+01	-2.391000000000000014e+01
-2.385000000000000142e+01	-2.391000000000000014e+01
-2.389999999999999858e+01	-2.391000000000000014e+01
-2.389000000000000057e+01	-2.391000000000000014e+01
-2.389000000000000057e+01	-2.387999999999999901e+01
-2.389000000000000057e+01	-2.392000000000000171e+01
-2.389000000000000057e+01	-2.392000000000000171e+01
-2.387000000000000099e+01	-2.392000000000000171e+01
-2.392000000000000171e+01	-2.392000000000000171e+01
-2.392000000000000171e+01	-2.392000000000000171e+01
-2.392000000000000171e+01	-2.389000000000000057e+01
-2.392000000000000171e+01	-2.394000000000000128e+01
-2.392000000000000171e+01	-2.392000000000000171e+01
-2.389000000000000057e+01	-2.392000000000000171e+01
-2.392999999999999972e+01	-2.392000000000000171e+01
-2.392000000000000171e+01	-2.392000000000000171e+01
-2.392000000000000171e+01	-2.389000000000000057e+01
-2.392000000000000171e+01	-2.394000000000000128e+01
