angle_wp1	angle_wp2	cts_h	cts_v	qber
-180	-180	186941.19521775082	67722.84308224393	0.7340698610831488
-180	-170	207947.37478291758	61542.65833859594	0.7716328963051251
-180	-160	187054.6135257759	89141.50858100998	0.6772528596670697
-180	-150	137007.81541511224	138101.35636166227	0.498012532734755
-180	-140	88380.69637071349	187038.36708895423	0.32089534856637086
-180	-130	63018.6392279949	217273.79340427805	0.22483175387996157
-180	-120	74774.12668847622	213584.46395695224	0.25930951639453664
-180	-110	118842.39917923982	177631.4924823888	0.4008528323123877
-180	-100	180808.79164914862	121480.10497687619	0.598132427843803
-180	-90	235649.49570223392	81714.83560914088	0.7425204172394275
-180	-80	253726.35690789472	69894.89103618421	0.7840225526592682
-180	-70	229291.72087735898	95786.34046614624	0.7053435717246689
-180	-60	187414.02143561104	154382.85356438896	0.5483198798573305
-180	-50	153273.43626654518	267033.47409918474	0.36467027423644865
-180	-40	109092.45985860741	300819.8039380403	0.2661361210523011
-180	-30	125273.58510680172	295348.1408923323	0.2978295636280558
-180	-20	183528.54092663043	221611.01790570823	0.45300079176563735
-180	-10	272870.83542430645	150330.34266117407	0.6447780619580187
-180	0	347513.05733609333	95596.39393541026	0.7842600881992109
-180	10	282225.1272832249	64334.87338927672	0.8143615152803713
-180	20	236863.29460997105	81971.13013022888	0.7429037651846331
-180	30	178073.44897079526	128894.73583500148	0.5801039253740689
-180	40	117292.7874161771	176086.6950192007	0.39979887633080474
-180	50	73712.17720892325	185525.08391710243	0.2843425242526721
-180	60	71502.58503263348	158986.36902932764	0.31022130897176015
-180	70	107710.98552261743	122980.99781969108	0.46690389480414785
-180	80	154166.02620798044	82538.2569605187	0.6513022246337494
-180	90	192136.52752121052	55724.796103323235	0.7751775255273934
-180	100	195464.82765068943	47008.986587642445	0.8061275740833752
-180	110	170966.97496836196	63970.29858385792	0.7277132844157267
-180	120	119604.05146344982	96363.54486447838	0.5538055407249214
-180	130	74696.2539860647	133539.844893507	0.3587094379311412
-180	140	45949.61668484546	146338.07542446384	0.23896285914505955
-180	150	52141.05456219441	140648.69848377368	0.2704555285661997
-180	160	79531.2397634958	116644.96527777777	0.4054071682483776
-180	170	124551.43609249333	83910.02628552039	0.5974794317936709
-180	180	160625.90276504037	56845.026562991305	0.7386086189145463
-170	-180	132190.13115284973	78176.88988645977	0.6283785856726491
-170	-170	133591.96002975877	83409.78426537976	0.6156262036680396
-170	-160	124537.90979878395	98519.84771252646	0.5583213567116988
-170	-150	114126.29256633804	121968.15332924356	0.48339253443011154
-170	-140	102844.86727576081	142919.87446568607	0.4184687622277292
-170	-130	102151.13896462339	156627.47275322519	0.3947433610780816
-170	-120	114354.8659123253	151003.28667718777	0.4309453649582145
-170	-110	135470.0841107787	131200.98805618522	0.5080044228642853
-170	-100	156283.88262498626	110225.86133198818	0.5864096385542168
-170	-90	164017.94747976452	91498.19859994219	0.641908349026993
-170	-80	177930.34646887382	97378.89409452402	0.6462926783886873
-170	-70	153638.7156262003	101968.62863394155	0.6010731658392258
-170	-60	134225.91437336625	120088.09285466139	0.5277959945517833
-170	-50	111314.31419549446	128173.5072419957	0.46480156497038877
-170	-40	103399.90442394678	125254.81126400358	0.4522098051328129
-170	-30	112794.53071739472	117506.03892443232	0.4897709584167223
-170	-20	150592.3130815023	119163.5709334262	0.5582540437678402
-170	-10	176149.3411307926	101940.6536864791	0.6334256694367497
-170	0	195744.70944854486	90475.41705518491	0.6838956849038849
-170	10	190621.19554488023	89436.8275368518	0.680648936414328
-170	20	176004.90682217176	100102.6301901317	0.6374505698999767
-170	30	149686.57723141476	118627.91298929343	0.5578773517162143
-170	40	121769.0467634163	122660.02415458938	0.4981774316209058
-170	50	106950.13044762405	121301.16377330008	0.468563084440201
-170	60	96100.90407876784	98515.91813274033	0.4937954642704322
-170	70	109305.12469486587	80538.59454564544	0.5757637130801688
-170	80	166581.5359815604	91013.28223642676	0.6466804617187306
-170	90	198783.31603474144	92346.18153186489	0.6828003266459203
-170	100	246163.66163254515	115723.73029814863	0.680221712945691
-170	110	243156.65377548602	145190.42068384174	0.6261323176285502
-170	120	184258.74577393482	155903.3898505737	0.5416791773007057
-170	130	93228.10363621796	113010.74614658148	0.45203948593779103
-170	140	88489.2561753373	125646.41687552781	0.4132392091172863
-170	150	96097.88023868392	127273.96238310086	0.4302148342009146
-170	160	113336.85509834552	112148.43373048326	0.5026352525569072
-170	170	131770.62844217152	101914.14445646474	0.5638819629010603
-170	180	149228.33337701825	95289.84186608827	0.6102954646567742
-160	-180	127720.79812512854	141922.68406123095	0.4736654381167519
-160	-170	139914.6699149866	139702.61957480127	0.5003791795932437
-160	-160	183060.5710940784	157577.94438314417	0.5374042064433524
-160	-150	197142.6778835205	147130.96996607576	0.572633656728925
-160	-140	208360.37222992	147924.84805798082	0.584813403322068
